Bedrooms,Bathrooms,Is_Brand_New,Is_Modern,Has_Parking,City_Tier,Price_Log,House_Size_Scaled,Land_Size_Scaled
5.0,5.0,1,1,0,3,18.049617062561534,-0.10634517850258589,0.6564775739166029
9.0,8.0,1,1,0,5,19.11382792451231,2.946412132257828,0.6564775739166029
4.0,4.0,0,0,0,3,17.47907220409392,-0.1654308038721423,-0.5629427274980747
4.0,2.0,0,0,1,1,16.759949537130716,-0.36238288843733024,-0.18297843068045777
3.0,2.0,0,0,0,2,16.90655301132259,-0.8124184016687848,-0.3906333370807833
5.0,4.0,1,1,0,2,17.24949776244942,-0.10634517850258589,-0.22716032565925046
4.0,2.0,0,0,1,1,16.38045991542581,-0.7464394533394468,-0.8457068553623477
4.0,3.0,1,0,0,3,17.281246460764002,-0.1654308038721423,0.12629483417109086
3.0,2.0,0,0,0,3,16.785925023533974,-0.8941535167633379,-0.49225169553200643
4.0,6.0,0,0,0,4,17.717483227538917,0.2383209694864931,-0.49225169553200643
5.0,4.0,0,1,0,4,17.98989782785991,0.1152259166332506,-0.08577826172711396
2.0,1.0,0,1,0,3,16.972510979114386,-0.9227115690252901,-0.5364335905107991
8.0,6.0,0,1,0,5,19.11382792451231,2.4540319208448578,1.1866603136621148
4.0,4.0,0,1,0,4,18.03501826314038,0.1299973229756397,-0.49225169553200643
6.0,5.0,0,0,0,1,17.7667542765457,0.3860350329103841,0.12629483417109086
5.0,4.0,0,0,0,3,17.565014633894645,-0.007869136219991892,-0.22716032565925046
4.0,4.0,0,1,0,5,18.28141867661886,0.3466446159973465,-0.21832394666349195
5.0,2.0,0,0,0,6,18.643824295266576,-0.007869136219991892,1.0982965237045295
5.0,3.0,0,0,0,5,17.98989782785991,-0.2540592419264769,-0.05043274574407979
4.0,5.0,0,0,0,5,18.246327356807587,0.2383209694864931,-0.4038879055744211
3.0,3.0,0,0,0,3,17.576710673657836,-0.2796630129199513,-0.8457068553623477
4.0,4.0,1,1,0,4,17.822843743196746,0.2383209694864931,-0.49225169553200643
4.0,3.0,0,0,0,2,17.111347423968603,-0.7168966406546686,0.5681137839590175
3.0,2.0,0,0,0,4,17.909855120186375,-0.3894638000650436,0.3030224140862615
6.0,3.0,0,0,0,4,17.576710673657836,-0.10942255482391694,0.2146586241286762
4.0,2.0,0,0,1,2,17.111347423968603,0.5253786327402545,1.7168430534076267
4.0,3.0,0,0,0,5,17.466168799258014,-0.38700189900797877,-0.4038879055744211
5.0,5.0,1,1,0,4,18.469470908121796,-0.007869136219991892,-0.22716032565925046
3.0,3.0,0,0,0,2,17.182806387950748,-0.17527840810040168,-0.44806980055321377
4.0,2.0,0,0,0,4,18.05683731053502,0.0906069060626021,-0.49225169553200643
4.0,3.0,0,0,0,2,17.312018119430753,-0.4219608940182996,-0.44806980055321377
3.0,3.0,1,1,0,3,17.47907220409392,-0.3032972630677739,0.17047672914988352
4.0,3.0,1,0,0,2,17.19990082131005,-0.25110496065799903,-0.5647100032972264
6.0,4.0,0,1,0,6,18.410630408098864,0.1890829483451961,-0.05043274574407979
5.0,3.0,0,0,0,6,18.679191439103867,3.438792343670798,3.5724826425169187
3.0,2.0,0,0,0,3,16.523560759066484,-0.7464394533394468,-0.22716032565925046
4.0,3.0,1,1,0,3,17.776323727561852,-0.13096418907323437,-0.22716032565925046
3.0,2.0,0,0,0,2,17.09265529095645,-0.6233444004862043,-0.43923342155745526
4.0,3.0,0,1,0,2,17.296750647299966,-0.10634517850258589,-0.09461464072287246
4.0,3.0,1,1,0,3,17.776323727561852,-0.13096418907323437,-0.22716032565925046
2.0,1.0,0,0,0,2,17.034386382832476,-0.8941535167633379,0.6564775739166029
4.0,3.0,0,1,0,3,17.14771506813948,-0.15558319964388287,-0.23599670465500894
4.0,5.0,0,1,0,5,18.390221536467656,0.3860350329103841,-0.22716032565925046
3.0,3.0,0,1,1,3,17.073607095985757,-0.5987253899155558,-0.5364335905107991
3.0,2.0,0,0,0,2,16.951004773893423,-0.8941535167633379,-0.49225169553200643
4.0,4.0,0,0,0,2,17.64415195445337,-0.18020221021453137,-0.26250584164228463
3.0,3.0,0,1,0,3,17.64415195445337,-0.007869136219991892,-0.49225169553200643
4.0,3.0,0,1,0,3,17.499377470254665,-0.2540592419264769,-0.22716032565925046
5.0,3.0,1,1,0,2,17.296750647299966,-0.03248814679064039,-0.44806980055321377
4.0,3.0,0,0,0,4,17.216707939626428,-0.6558414944394604,-0.03982909094916962
5.0,4.0,0,0,0,4,18.749984491094967,0.4928815387869986,2.2744185680399904
4.0,4.0,0,1,0,2,17.64415195445337,-0.18020221021453137,-0.26250584164228463
3.0,2.0,1,1,0,3,17.49181122987135,-0.5002493476329618,0.17047672914988352
4.0,2.0,0,0,0,2,16.249123913364723,-0.7464394533394468,-0.22716032565925046
3.0,2.0,0,0,0,2,17.19990082131005,-0.7203433021345594,-0.3376150631062321
4.0,5.0,0,1,0,5,18.246327356807587,0.2383209694864931,-0.4038879055744211
5.0,4.0,0,1,0,6,17.822843743196746,-0.2540592419264769,-0.23157851515712977
3.0,2.0,0,0,0,1,16.727861222579214,-0.7351147084769485,-0.35086963159986995
4.0,2.0,0,0,1,3,17.43985149094064,-0.27129254932593083,0.32069517207777853
4.0,3.0,0,0,0,2,17.341871082580436,0.2383209694864931,0.6564775739166029
4.0,5.0,0,0,0,5,18.390221536467656,0.3860350329103841,-0.22716032565925046
2.0,1.0,0,0,0,2,15.671808548329901,-1.0418675801872288,-0.20948756766773344
4.0,3.0,0,1,0,4,17.822843743196746,0.0906069060626021,0.03793104421350554
4.0,1.0,0,0,1,6,17.034386382832476,-0.2540592419264769,-0.4038879055744211
2.0,1.0,0,0,0,6,18.02020317735524,-0.8350678913937815,0.39138620404384683
3.0,2.0,0,0,1,6,17.4264284706085,-0.8449154956220408,-0.4038879055744211
4.0,3.0,0,0,0,3,17.822843743196746,-0.16789270492920713,0.25884051910746886
6.0,6.0,0,0,0,5,18.258161814454592,0.4141007049609234,-0.20948756766773344
4.0,2.0,0,0,0,1,17.19990082131005,0.2383209694864931,-0.4038879055744211
6.0,2.0,0,0,0,2,16.99356438831222,-0.007869136219991892,3.3073912726441623
5.0,3.0,0,1,0,4,18.064005800013632,0.4845110751929781,-0.49225169553200643
6.0,4.0,0,1,0,5,19.806975105072254,3.438792343670798,5.0746670717958695
4.0,4.0,0,0,0,3,17.47907220409392,-0.23140975220148025,-0.5629427274980747
3.0,2.0,0,0,0,2,16.99356438831222,-0.8695345061926893,-0.5187608325192821
3.0,3.0,0,1,0,3,17.45309671769066,-0.5987253899155558,-0.4038879055744211
3.0,2.0,1,1,0,2,16.972510979114386,-0.8326059903367166,-0.5364335905107991
4.0,3.0,0,1,0,2,17.216707939626428,-0.7956774744807439,-0.49225169553200643
3.0,3.0,0,0,0,3,16.951004773893423,-0.7621956201046619,-0.35970601059562846
4.0,4.0,1,1,0,2,17.822843743196746,0.2383209694864931,-0.4038879055744211
5.0,3.0,0,1,0,2,17.399029496420383,0.0906069060626021,-0.18297843068045777
4.0,3.0,1,1,0,2,17.327055996795295,-0.007869136219991892,-0.4701607480426101
5.0,2.0,0,0,0,6,18.337299135013314,0.2383209694864931,1.4517516835348707
4.0,3.0,0,1,0,2,17.7667542765457,-0.37715429477971935,-0.44806980055321377
5.0,3.0,0,0,0,4,17.858561825798823,0.730701180899463,7.84045369746829
3.0,3.0,0,1,0,3,16.972510979114386,-0.7218204427687983,-0.4038879055744211
2.0,1.0,0,0,0,5,16.523560759066484,-0.8941535167633379,-0.7396703074132452
2.0,2.0,0,1,0,4,16.811242831518264,-0.7415156512253172,-0.44806980055321377
3.0,2.0,0,0,0,5,17.37085861945369,-0.6725824216275014,-0.5452699695065576
3.0,3.0,0,0,0,4,17.665658159674333,-0.19398885613409453,-0.3155241156168358
3.0,2.0,0,1,0,2,16.860032995687696,-0.9000620793002935,-0.5187608325192821
3.0,2.0,0,0,1,2,16.99356438831222,-0.8547630998503002,-0.5364335905107991
3.0,3.0,0,0,0,3,16.951004773893423,-0.7631803805274878,-0.35970601059562846
5.0,4.0,0,0,0,5,18.132998671500584,0.2383209694864931,0.6564775739166029
2.0,1.0,0,0,1,2,16.38045991542581,-1.0911056013285259,-0.5717791064938332
5.0,5.0,0,1,0,6,18.720785336402702,1.469271498018918,0.49742275199294916
5.0,3.0,0,0,0,2,17.49686174565742,-0.2964039401079923,0.060021991702901865
5.0,4.0,0,1,0,3,17.341871082580436,-0.007869136219991892,-0.49225169553200643
3.0,2.0,0,0,0,3,17.37085861945369,-0.007869136219991892,1.540115473492456
4.0,3.0,0,0,0,5,18.720785336402702,-0.007869136219991892,3.32506403063568
3.0,2.0,0,1,0,5,17.399029496420383,-0.6233444004862043,-0.27576041013592245
5.0,2.0,0,0,0,3,17.216707939626428,0.0906069060626021,-0.4038879055744211
3.0,2.0,1,1,0,3,17.45309671769066,-0.366321930128634,-0.3950515265786626
3.0,1.0,0,0,0,5,16.523560759066484,-0.7956774744807439,0.17047672914988352
4.0,3.0,0,0,0,4,18.258161814454592,0.976891286605948,1.2750241036197
6.0,3.0,0,0,0,4,17.565014633894645,-0.10979183998247667,0.2146586241286762
6.0,3.0,0,0,0,5,17.86729550576758,-0.10634517850258589,3.1306636927289917
5.0,3.0,0,0,1,6,18.951308995014536,-0.03248814679064039,0.6564775739166029
4.0,4.0,0,1,0,3,17.840862248699423,0.2383209694864931,-0.22716032565925046
4.0,4.0,0,0,0,3,17.529082624668582,-0.6972014321981498,-0.9561615928093294
3.0,3.0,0,0,0,6,18.720785336402702,-0.9852438558747373,1.504769957509422
3.0,2.0,0,0,0,5,18.132998671500584,-0.5002493476329618,1.540115473492456
4.0,3.0,1,0,0,4,17.840862248699423,-0.007869136219991892,-0.5806154854895917
5.0,3.0,1,1,0,3,17.686711568872166,0.3761874286821247,0.2146586241286762
2.0,1.0,0,0,0,5,16.454567887579532,-1.119171273379065,-0.7794340128941587
4.0,4.0,1,1,0,1,17.565014633894645,0.8449333899472721,-0.05043274574407979
4.0,2.0,0,0,0,3,17.111347423968603,-0.5435788062373033,-0.49225169553200643
3.0,2.0,1,1,1,2,16.785925023533974,-0.8941535167633379,-0.49225169553200643
5.0,3.0,0,0,1,6,18.29284737244248,-0.007869136219991892,-0.3155241156168358
4.0,4.0,0,0,0,6,19.25358986688747,0.6026823259320908,-0.22716032565925046
3.0,2.0,0,0,0,2,17.1296965626368,-0.6356539057715286,-0.22716032565925046
4.0,3.0,1,0,0,4,18.042344303232454,-0.057107157361288886,-0.3773787685871454
3.0,2.0,0,0,0,5,17.39206082710429,-0.5987253899155558,0.03793104421350554
4.0,3.0,1,1,1,3,17.47907220409392,-0.10634517850258589,-0.49225169553200643
4.0,3.0,0,1,0,5,18.19126757962456,-0.007869136219991892,-0.08577826172711396
3.0,1.0,0,0,1,3,17.014183675514957,-0.7464394533394468,0.6564775739166029
4.0,4.0,0,0,0,5,18.469470908121796,0.4845110751929781,0.2146586241286762
5.0,3.0,0,0,1,1,16.523560759066484,-0.7464394533394468,-0.8457068553623477
4.0,4.0,1,1,1,2,17.822843743196746,0.2383209694864931,-0.4038879055744211
5.0,4.0,0,1,1,3,18.258161814454592,-0.007869136219991892,-0.4038879055744211
4.0,2.0,0,0,1,1,16.510137738734343,-0.8695345061926893,-0.18297843068045777
4.0,3.0,0,0,0,6,18.683045008419857,-0.007869136219991892,2.070298213237968
6.0,2.0,0,0,0,3,17.281246460764002,-0.7464394533394468,-0.05043274574407979
4.0,4.0,0,1,0,5,18.29284737244248,0.730701180899463,-0.24483308365076745
3.0,1.0,0,0,1,1,16.64872390202049,-0.3032972630677739,-0.4038879055744211
3.0,3.0,0,1,0,4,18.02763815584276,-0.5002493476329618,-0.4038879055744211
5.0,4.0,0,1,0,5,18.064005800013632,0.0413688849213051,0.5548592154653799
6.0,4.0,0,1,0,5,17.47907220409392,-0.22845547093300245,-0.4701607480426101
6.0,6.0,0,1,0,6,18.258161814454592,0.2875589906277901,-0.4038879055744211
6.0,5.0,1,0,0,5,18.369387449564815,1.223081392312433,-0.3155241156168358
6.0,6.0,0,0,1,2,16.883563493097892,-0.007869136219991892,-0.3155241156168358
5.0,3.0,1,0,0,2,17.312018119430753,-0.007869136219991892,-0.44806980055321377
4.0,3.0,0,1,0,3,17.553180176247643,0.1890829483451961,-0.006250850765287128
4.0,3.0,0,0,0,3,18.064005800013632,-0.10634517850258589,0.3030224140862615
5.0,4.0,0,0,0,3,17.622173047734595,0.1201497187473803,0.2146586241286762
4.0,6.0,0,0,0,4,17.717483227538917,0.2383209694864931,-0.49225169553200643
5.0,3.0,0,0,0,5,18.258161814454592,0.4845110751929781,-0.19181480967621628
4.0,4.0,0,1,0,5,18.03501826314038,-0.057107157361288886,-0.08577826172711396
6.0,3.0,0,0,0,4,17.565014633894645,-0.10979183998247667,0.2146586241286762
5.0,4.0,1,0,0,2,17.281246460764002,-0.1654308038721423,-0.4038879055744211
5.0,5.0,0,1,0,5,18.75715298057358,1.223081392312433,0.7448413638741882
4.0,3.0,0,0,0,5,18.643824295266576,0.3367970117690871,0.4797499940014322
6.0,4.0,0,1,0,4,17.47907220409392,-0.22845547093300245,-0.4701607480426101
3.0,3.0,1,1,0,2,16.99356438831222,-0.8449154956220408,-0.49225169553200643
6.0,5.0,1,1,0,5,18.369387449564815,1.223081392312433,-0.3155241156168358
3.0,4.0,0,1,0,6,18.82614585206053,0.34565985557452056,0.5681137839590175
5.0,5.0,0,1,0,5,18.02763815584276,-0.5002493476329618,-0.4038879055744211
4.0,3.0,0,0,0,2,17.7073308560749,-0.1506593975297532,0.002585528230471374
4.0,3.0,0,1,0,3,17.19990082131005,-0.2895106171482107,-0.49225169553200643
5.0,3.0,0,1,0,2,17.399029496420383,0.0906069060626021,-0.18297843068045777
3.0,2.0,1,1,0,2,17.073607095985757,-0.7956774744807439,-0.23599670465500894
4.0,5.0,0,0,0,5,18.390221536467656,0.3860350329103841,-0.22716032565925046
4.0,3.0,1,1,1,3,17.47907220409392,-0.10634517850258589,-0.49225169553200643
4.0,4.0,1,1,0,4,17.686711568872166,-0.20482122078517986,-0.3155241156168358
3.0,2.0,0,0,0,6,17.7073308560749,-0.007869136219991892,-0.2713422206380431
3.0,2.0,0,0,0,3,17.281246460764002,0.2875589906277901,-0.05043274574407979
4.0,3.0,0,0,0,2,17.19990082131005,-0.2471659189666953,-0.5629427274980747
3.0,3.0,1,1,0,3,17.356469882001587,-0.45101132649166487,-0.49225169553200643
8.0,6.0,0,1,0,5,19.11382792451231,2.4540319208448578,1.1866603136621148
3.0,2.0,0,0,0,3,17.034386382832476,-0.3032972630677739,0.7006594688953955
3.0,2.0,0,0,0,5,17.576710673657836,-0.6725824216275014,-0.49225169553200643
6.0,5.0,0,0,1,2,17.47907220409392,0.533749096334275,-0.49225169553200643
4.0,4.0,0,1,0,2,17.312018119430753,-0.2540592419264769,-0.29343316812743947
5.0,5.0,0,1,0,6,20.560746907448635,1.715461603725403,0.4797499940014322
6.0,1.0,0,1,1,3,17.98989782785991,-1.4850097704589018,0.7448413638741882
4.0,4.0,1,1,1,3,17.576710673657836,-0.057107157361288886,-0.5806154854895917
5.0,4.0,0,1,0,4,18.890684373198102,0.976891286605948,1.4959335785136634
4.0,4.0,1,0,0,2,17.399029496420383,-0.15558319964388287,-0.4038879055744211
3.0,2.0,0,0,0,1,16.972510979114386,-0.8449154956220408,-0.22716032565925046
4.0,3.0,0,0,0,3,17.47907220409392,-0.2939420390509274,-0.5806154854895917
6.0,6.0,1,1,0,4,18.246327356807587,-0.40177330535036787,-0.006250850765287128
6.0,5.0,0,1,0,6,19.008467408854486,0.976891286605948,0.32688063737480955
5.0,4.0,0,0,0,3,17.37085861945369,-0.14672035583844942,-0.49225169553200643
3.0,2.0,0,1,1,1,16.759949537130716,-0.7710584639100954,-0.1387965357016651
3.0,2.0,0,1,0,2,16.90655301132259,-0.8124184016687848,-0.3906333370807833
3.0,3.0,0,1,0,5,18.02763815584276,-0.5002493476329618,-0.4038879055744211
4.0,3.0,0,1,0,5,18.049617062561534,0.2383209694864931,0.4797499940014322
5.0,3.0,0,1,0,5,18.132998671500584,0.3860350329103841,0.25884051910746886
4.0,3.0,0,0,0,3,17.47907220409392,-0.2540592419264769,-0.09638191652202413
